,?交?,皜祉?,皜祇?,18
0,2018/1/1,?支滬,PM2.5,28
1,2018/1/2,?支滬,PM2.5,8
2,2018/1/3,?支滬,PM2.5,8
3,2018/1/4,?支滬,PM2.5,21
4,2018/1/5,?支滬,PM2.5,10
5,2018/1/6,?支滬,PM2.5,10
6,2018/1/7,?支滬,PM2.5,2
7,2018/1/8,?支滬,PM2.5,8
8,2018/1/9,?支滬,PM2.5,28
9,2018/1/10,?支滬,PM2.5,5
10,2018/1/11,?支滬,PM2.5,16
11,2018/1/12,?支滬,PM2.5,32
12,2018/1/13,?支滬,PM2.5,4
13,2018/1/14,?支滬,PM2.5,3
14,2018/1/15,?支滬,PM2.5,6
15,2018/1/16,?支滬,PM2.5,23
16,2018/1/17,?支滬,PM2.5,27
17,2018/1/18,?支滬,PM2.5,12
18,2018/1/19,?支滬,PM2.5,14
19,2018/1/20,?支滬,PM2.5,26
20,2018/1/21,?支滬,PM2.5,11
21,2018/1/22,?支滬,PM2.5,8
22,2018/1/23,?支滬,PM2.5,15
23,2018/1/24,?支滬,PM2.5,15
24,2018/1/25,?支滬,PM2.5,5
25,2018/1/26,?支滬,PM2.5,7
26,2018/1/27,?支滬,PM2.5,8
27,2018/1/28,?支滬,PM2.5,4
28,2018/1/29,?支滬,PM2.5,19
29,2018/1/30,?支滬,PM2.5,11
30,2018/1/31,?支滬,PM2.5,12
31,2018/2/1,?支滬,PM2.5,35
32,2018/2/2,?支滬,PM2.5,14
33,2018/2/3,?支滬,PM2.5,18
34,2018/2/4,?支滬,PM2.5,8
35,2018/2/5,?支滬,PM2.5,16
36,2018/2/6,?支滬,PM2.5,23
37,2018/2/7,?支滬,PM2.5,9
38,2018/2/8,?支滬,PM2.5,11
39,2018/2/9,?支滬,PM2.5,29
40,2018/2/10,?支滬,PM2.5,13
41,2018/2/11,?支滬,PM2.5,28
42,2018/2/12,?支滬,PM2.5,26
43,2018/2/13,?支滬,PM2.5,14
44,2018/2/14,?支滬,PM2.5,20
45,2018/2/15,?支滬,PM2.5,29
46,2018/2/16,?支滬,PM2.5,32
47,2018/2/17,?支滬,PM2.5,8
48,2018/2/18,?支滬,PM2.5,29
49,2018/2/19,?支滬,PM2.5,19
50,2018/2/20,?支滬,PM2.5,11
51,2018/2/21,?支滬,PM2.5,9
52,2018/2/22,?支滬,PM2.5,7
53,2018/2/23,?支滬,PM2.5,23
54,2018/2/24,?支滬,PM2.5,37
55,2018/2/25,?支滬,PM2.5,8
56,2018/2/26,?支滬,PM2.5,11
57,2018/2/27,?支滬,PM2.5,37
58,2018/2/28,?支滬,PM2.5,23
59,2018/3/1,?支滬,PM2.5,8
60,2018/3/2,?支滬,PM2.5,46
61,2018/3/3,?支滬,PM2.5,36
62,2018/3/4,?支滬,PM2.5,35
63,2018/3/5,?支滬,PM2.5,19
64,2018/3/6,?支滬,PM2.5,8
65,2018/3/7,?支滬,PM2.5,11
66,2018/3/8,?支滬,PM2.5,10
67,2018/3/9,?支滬,PM2.5,26
68,2018/3/10,?支滬,PM2.5,9
69,2018/3/11,?支滬,PM2.5,10
70,2018/3/12,?支滬,PM2.5,28
71,2018/3/13,?支滬,PM2.5,28
72,2018/3/14,?支滬,PM2.5,10
73,2018/3/15,?支滬,PM2.5,19
74,2018/3/16,?支滬,PM2.5,14
75,2018/3/17,?支滬,PM2.5,12
76,2018/3/18,?支滬,PM2.5,22
77,2018/3/19,?支滬,PM2.5,31
78,2018/3/20,?支滬,PM2.5,9
79,2018/3/21,?支滬,PM2.5,13
80,2018/3/22,?支滬,PM2.5,22
81,2018/3/23,?支滬,PM2.5,21
82,2018/3/24,?支滬,PM2.5,27
83,2018/3/25,?支滬,PM2.5,10
84,2018/3/26,?支滬,PM2.5,20
85,2018/3/27,?支滬,PM2.5,22
86,2018/3/28,?支滬,PM2.5,10
87,2018/3/29,?支滬,PM2.5,6
88,2018/3/30,?支滬,PM2.5,12
89,2018/3/31,?支滬,PM2.5,24
90,2018/4/1,?支滬,PM2.5,14
91,2018/4/2,?支滬,PM2.5,32
92,2018/4/3,?支滬,PM2.5,18
93,2018/4/4,?支滬,PM2.5,28
94,2018/4/5,?支滬,PM2.5,13
95,2018/4/6,?支滬,PM2.5,6
96,2018/4/7,?支滬,PM2.5,12
97,2018/4/8,?支滬,PM2.5,14
98,2018/4/9,?支滬,PM2.5,18
99,2018/4/10,?支滬,PM2.5,20
100,2018/4/11,?支滬,PM2.5,25
101,2018/4/12,?支滬,PM2.5,19
102,2018/4/13,?支滬,PM2.5,31
103,2018/4/14,?支滬,PM2.5,10
104,2018/4/15,?支滬,PM2.5,22
105,2018/4/16,?支滬,PM2.5,10
106,2018/4/17,?支滬,PM2.5,14
107,2018/4/18,?支滬,PM2.5,11
108,2018/4/19,?支滬,PM2.5,18
109,2018/4/20,?支滬,PM2.5,19
110,2018/4/21,?支滬,PM2.5,40
111,2018/4/22,?支滬,PM2.5,9
112,2018/4/23,?支滬,PM2.5,21
113,2018/4/24,?支滬,PM2.5,10
114,2018/4/25,?支滬,PM2.5,26
115,2018/4/26,?支滬,PM2.5,17
116,2018/4/27,?支滬,PM2.5,16
